Case,Hs,Tp,Theta,Seed,a_x,b_x,c_x,a_y,b_y,c_y
7199,3,9,70,99,-3.395006438319477,-0.002049959024274176,0.001304061489225727,-3.371240550130202,-0.0014665260241234633,0.0012648774935160615
7200,3,9,70,100,-3.350798592351385,0.0025879628157008,0.001212344861344232,-3.330625326533153,0.003006657477257053,0.0012035218686652096
7201,1,3,10,1,-3.485926235818979,-0.0051259526380966584,0.016630896063182413,-3.446585416677791,-0.0028269070178078247,0.015723444459795847
7202,1,3,10,2,-3.660230627313123,-0.0011400035366803257,0.023454280684068986,-3.5238507746429972,0.0038190324454266053,0.020727590315910916
7203,1,3,10,3,-3.5504680810376996,-0.0078142667560985,0.019456431902730123,-3.5986061085656904,-0.011779739858849524,0.01765999930211742
7204,1,3,10,4,-3.503387357668941,-0.002652867223975893,0.01881995979986884,-3.466206062953559,-0.0003094117089274019,0.017917378856444965
7205,1,3,10,5,-3.5882443698139395,-0.0012954226666810377,0.022747859860584918,-3.5112418376899344,0.0017904828108660995,0.02087541800328344
7206,1,3,10,6,-3.4964970195427285,-0.002512058825698993,0.020544373246697265,-3.469602705955886,-0.00455432858431996,0.017175241290078146
7207,1,3,10,7,-3.5747173392574068,-0.0014622542127143145,0.018708947273198783,-3.4848289882992876,0.002140552999628606,0.016800152532505504
7208,1,3,10,8,-3.467901309029251,-0.0049841709319290006,0.016478071117235985,-3.444101431500269,-0.0016119982189549895,0.016007885094217574
7209,1,3,10,9,-3.5015998168822327,-0.004719985266490985,0.019946390499308332,-3.484683283744741,-0.008640094715057866,0.01782302448714241
7210,1,3,10,10,-3.531733671846107,0.0010036404355070333,0.02109024851894697,-3.484597507325623,-0.002108078952378467,0.01781487138522066
7211,1,3,80,1,-3.4811049034298853,-0.004828525850856719,0.016277318881168894,-3.4451276696990627,-0.0027678544766171626,0.01576564457912422
7212,1,3,80,2,-3.637742700790533,-0.0008141513166687285,0.02259484035295888,-3.5140039532889826,0.003965290814642853,0.020772891239786494
